"s2n","Baseline_alpha","Baseline_beta","Larger threshold_alpha","Larger threshold_beta","Larger interpret_alpha","Larger interpret_beta","Larger slope_alpha","Larger slope_beta","Correlated_alpha","Correlated_beta"
1.201,0.765059085405086,-0.530162040535626,0.440234326925444,-0.38929596220871,0.605710597877166,-0.522189980085968,0.906403566796498,-0.813000151712242,-1.40565573806169,3.81595448151603
1.251,0.768522036854084,-0.536099950905614,0.451083229311085,-0.399995772471351,0.607069381184674,-0.526694016122879,0.908885421667467,-0.816668176426705,-1.35820738494173,3.71778899359415
1.301,0.770862033062088,-0.542411208412084,0.458220036354091,-0.406887930106354,0.606806274189241,-0.530984688384109,0.909476429617373,-0.818965979191748,-1.30621982963208,3.61191471329018
1.351,0.77357363118756,-0.547798493633294,0.467840761532347,-0.416127887799337,0.607900838461442,-0.53445568483223,0.910967563826084,-0.821963992726001,-1.26060926755071,3.52224998891952
1.401,0.776993259181666,-0.553153606865773,0.47826301724436,-0.426651659059303,0.609362384976055,-0.537784842226228,0.912660656819045,-0.824705642910978,-1.21089364842679,3.43645909563562
1.451,0.779253609153172,-0.558638212210124,0.483377781296231,-0.430886902216257,0.61027944361988,-0.543290438715593,0.914039198764626,-0.828260209811373,-1.1748823633137,3.35241219577546
1.501,0.78172631477881,-0.564235893476107,0.491514515426353,-0.439263159550222,0.610112672382223,-0.545501827748284,0.915193844071977,-0.830501897440052,-1.12810036205094,3.26147289031397
1.551,0.784999498646345,-0.569561182101017,0.496951113968497,-0.445409051157876,0.610588047904702,-0.548377623908689,0.916538340619049,-0.833141918974731,-1.09552174716697,3.1844267385295
1.601,0.786438264952121,-0.574212301884468,0.507328200459188,-0.455529989145546,0.611562688215218,-0.552431482541459,0.917611174378506,-0.835831565019589,-1.05672144060079,3.10880381856943
1.651,0.790383981295525,-0.579344818790646,0.513862694723711,-0.461307690419108,0.613513679572365,-0.555868381123499,0.919773675044338,-0.838810974965829,-1.00138729214889,3.02069541420584
1.701,0.791280484751365,-0.583676271282242,0.518524563407867,-0.466388024461828,0.612337461047754,-0.557837015654011,0.920655861289107,-0.841252147270162,-0.981821229776512,2.9657249025427
1.751,0.794505461559218,-0.588761843079576,0.528639612236318,-0.4763029176392,0.613516842486445,-0.560626965351413,0.921674594177428,-0.842993888435825,-0.934023103553789,2.8809136153842
1.801,0.795653862010719,-0.592069485049545,0.533879857118827,-0.481401646273505,0.613661024645842,-0.563248604208721,0.921770817491255,-0.844237615818578,-0.913972172264631,2.82924008763129
1.851,0.798697372320063,-0.596878565732083,0.540093534258778,-0.487968987773162,0.614334800304756,-0.566400310444173,0.923796230007159,-0.847822024792996,-0.878786392029076,2.7602016720459
1.901,0.800087114975784,-0.600644458943496,0.543981698790954,-0.49177817551075,0.614737124476969,-0.567027899078197,0.924082644462881,-0.848414106991768,-0.847488562746103,2.6993415718334
