"year","cpi","wpi","proxy","gdefl","cdefl","gdp","gdppc","prod","cons","inv","gcons","exp","imp","urate","stx","house"
"1884","1.173575593","1.172477451","86.128247665","0.973293197","1.153572639","129038.2953","4.028258684","10","92'790","6'070","15'746","22'494","15'330","5","20.51922316","0"
"1885","1.132873549","1.106983793","80.950989935","0.964138575","1.119312429","127653.588","3.945595149","10","93'655","5'655","17'301","21'643","15'479","7","20.37969244","0"
"1886","1.122698038","1.06609832","76.441056185","0.968951601","1.101038229","128038.0402","3.918271803","10","94'206","5'188","17'107","22'232","15'627","7","20.13106019","0"
"1887","1.100085792","1.056870251","75.447675075","0.967284888","1.09510516","133522.9265","4.04559078","10","97'744","5'344","16'718","23'474","16'520","6","20.03040489","0"
"1888","1.097824567","1.084298123","77.6220079","0.967778266","1.102643114","138188.7095","4.145379736","11","99'081","5'551","16'718","24'913","17'066","5","22.06950011","0"
"1889","1.106869465","1.113520342","77.33317567","0.987672083","1.117697861","142655.0037","4.23683306","12","101'125","5'914","16'912","26'025","18'554","4","23.47312032","0"
"1890","1.111391915","1.10390777","75.962651635","1.0016917","1.12047095","144047.2461","4.235605049","12","103'013","6'018","17'301","25'959","18'554","3","23.73132464","0"
"1891","1.120436813","1.102241591","79.289568375","0.970322108","1.128532127","148546.5315","4.323486145","12","107'338","6'329","17'884","24'717","18'951","4","23.03125056","0"
"1892","1.124959263","1.050718205","77.299044475","0.974315642","1.132652621","144669.9934","4.164794045","12","106'866","6'485","17'884","24'521","19'249","5","22.46007555","0"
"1893","1.103477629","1.04341265","79.22902642","0.984573656","1.124241131","143257.5306","4.079199651","11","107'338","6'589","18'467","23'147","18'852","6","21.69867899","0"
"1894","1.074081708","0.968947259","75.20878136","0.990627299","1.10214552","150221.641","4.230867823","12","111'663","6'848","19'245","24'324","20'390","6","23.25881401","0"
"1895","1.059383748","0.953310809","67.308227935","0.979293472","1.09093061","155162.7651","4.322378188","13","114'415","7'160","20'411","26'090","21'432","6","25.24976849","0"
"1896","1.057122523","0.936392682","65.70880167","0.973623292","1.087160122","161399.1658","4.447047835","14","119'133","7'782","21'383","27'201","22'622","5","27.39599881","0"
"1897","1.078604157","0.955617826","69.309390365","0.984215744","1.103031106","163651.2316","4.459899039","14","119'841","8'664","21'966","27'332","23'119","5","28.48635956","0"
"1898","1.097824567","0.985993553","71.96980454","0.991258232","1.106525908","171492.9599","4.622577728","15","124'873","10'013","22'550","27'398","23'912","4","28.93929268","0"
"1899","1.086518444","1.048411188","69.439418925","1.014670743","1.1143334","177872.2574","4.742156232","15","129'041","10'584","27'215","28'705","24'408","4","29.35601849","0"
