"year","proxy","rgdp","rgdpprox","rgdpcpi","gdpd","rgdppc","gapip","gap","cpi","cpif","bank","iprod","ipfood","iptex","ipleat","ipchem","ipmach","ipwood","ipmet","share","m2","m3"
"1833","-1.6683754207572","29951","910.49691859656","14239.6031941032","3.87","2126.3","12.0869970398826","3.8101021714687","8.14",NA,"1","35.1479705","34.84194866","25.25823063","53.18862249","39.83934744","39.23213237","24.79345261","43.84419714","8.25",NA,NA
"1834","-5.72780017726969","30455","1015.0586628881","14677.1084337349","4","2099.8","1.23865190610011","1.60212233318287","8.3",NA,"1","33.57932024","33.61964336","26.4568169","46.66650795","40.09398446","35.47458621","28.47279299","35.55086603","9.38",NA,NA
"1835","12.1989586960136","32071","995.571610995244","15697.5152224824","4.18","2150","6.47542969115689","3.14736996626746","8.54",NA,"0","37.5725253","36.56568596","28.36899272","48.99200076","47.75953931","36.12939074","32.14343251","47.98470409","9.7",NA,NA
"1836","15.7890885109832","33021","948.821070497011","16400.6740576497","4.48","2152.6","7.62520042632317","2.66641754118479","9.02",NA,"0","40.24929537","30.2594877","32.04856602","55.86652033","47.56153165","47.18698668","33.40580254","46.74383662","8.53",NA,NA
"1837","0.982620091877195","33323","986.278260286665","16751.3678532902","4.66","2110.4","0.652705299133789","0.343174259438038","9.27",NA,"1","39.67901904","30.64088056","30.58077257","47.11048341","58.3297429","46.99563778","32.0749866","50.34245679","7.86",NA,NA
"1838","-3.99809951130513","34702","1056.09249698119","17697.2505543237","4.6","2138.9","-2.33096513029627","1.24585171200763","9.02",NA,"1","40.6965432","37.93431103","33.63449745","40.08501096","54.40387574","45.2361023","37.48029687","49.35146407","7.67",NA,NA
"1839","-0.789072855548134","35593","1108.43846180834","18427.8614190687","4.67","2137","4.39072529801434","0.621639779691064","9.02",NA,"1","46.05580906","41.48200479","38.42343544","41.39675183","58.79636483","53.39022971","40.32334144","62.67913078","6.75",NA,NA
"1840","-16.4283608314688","35691","1255.93885706492","18782.4952267303","4.41","2084.7","-6.36929358496109","-2.37084440715647","8.38","98.5","0","43.88116827","62.65346493","41.32377183","35.5906618","58.47464266","44.02574257","37.43935564","44.32545893","7.13",NA,NA
"1841","-8.41601228017845","36490","1440.20298670469","19538.9716312057","4.53","2071.9","-7.27936877685415","-3.6395478956617","8.46","98.7","0","46.34873468","63.74937383","42.86825606","40.13047581","61.42109354","43.32114244","40.50792948","49.71889973","6.2",NA,NA
"1842","-10.4609341025473","37656","1575.58458574519","20496.3037974684","4.3","2077.7","-11.4580269997095","-4.27550886706861","7.9","93.2","0","47.65550429","61.48693273","39.37233068","47.35377311","59.30353072","37.82099051","49.32462963","53.35869467","5.02",NA,NA
"1843","-6.39791776794207","39522","1631.10903403172","21883.1715481172","3.97","2120.2","-8.2197088989239","-3.56611703948119","7.17","89.3","0","53.10274696","69.08307272","48.02898475","46.87267712","68.3745232","42.44948643","57.90050464","51.88045248","7.41",NA,NA
"1844","-1.93142731022493","41768","1802.02913120628","23447.6910344828","4.07","2180.3","-5.06951773531607","-2.51601108993962","7.25","89.8","0","59.45169213","67.50276684","51.50523852","58.24103621","76.47619881","45.12673495","59.07192279","75.99445661","8.64",NA,NA
